arm,batch,input_tokens,output_tokens,ttft_ms_median,ttft_ms_p95,decode_ms_median,decode_ms_p95,e2e_ms_median,e2e_ms_p95,decode_tokens_s_median,decode_tokens_s_p95,tpot_ms_median,tpot_ms_p95,gpu_prefill_ms_median,gpu_prefill_ms_p95,gpu_decode_ms_median,gpu_decode_ms_p95,baseline_allocated_bytes_median,baseline_allocated_bytes_p95,baseline_reserved_bytes_median,baseline_reserved_bytes_p95,peak_allocated_bytes_median,peak_allocated_bytes_p95,peak_reserved_bytes_median,peak_reserved_bytes_p95,kv_bytes_median,kv_bytes_p95,kv_length_median,kv_length_p95
I02,4,1024,128,22.928497000066272,23.032374999729655,889.0087024999502,898.4017669999957,911.9748220000474,921.2827449996439,571.4229872526316,574.6944871501278,7.000068523621655,7.074029661417289,22.898719787597656,22.978431701660156,889.0007934570312,898.3930053710938,159585792.0,159585792,534773760.0,534773760,393122304.0,393122304,534773760.0,534773760,113147904.0,113147904,1151.0,1151
I03,4,1024,128,23.10532050000802,23.255512000105227,3038.290381500019,3039.282365999952,3061.3743930002784,3062.3974589998397,167.19929178731297,167.25851305521553,23.92354631102377,23.931357212598048,23.078255653381348,23.231264114379883,3038.264892578125,3039.25732421875,150410752.0,150410752,371195904.0,371195904,247986688.0,247986688,371195904.0,371195904,0.0,0,0.0,0
I04,4,1024,128,20.864088000053016,20.95046399972489,908.0907624997963,911.7502680001053,929.2965149998054,932.5929399997221,559.4155593449602,561.6315999411776,7.150320964565324,7.179135968504766,20.840496063232422,20.91814422607422,908.0828247070312,911.7427368164062,150410752.0,150410752,335544320.0,335544320,285129216.0,285129216,335544320.0,335544320,56573952.0,56573952,1151.0,1151
I02,8,128,128,5.7969585002410895,6.316541000160214,866.1280305000219,878.0304100000649,872.4990810001145,883.7771710000197,1173.036836317685,1179.6648860702524,6.819905751968676,6.913625275591062,5.770927906036377,5.973567962646484,866.119873046875,878.0214233398438,159565312.0,159565312,316669952.0,316669952,263019008.0,263019008,316669952.0,316669952,50135040.0,50135040,255.0,255
I03,8,128,128,6.350166499942134,6.956646000162436,1092.077631499933,1095.1886660000127,1098.4086844998728,1101.5708079999058,930.3368520073041,933.2724020359084,8.59903646850341,8.623532803149706,6.326320171356201,6.934175968170166,1092.0682373046875,1095.1776123046875,150390272.0,150390272,228589568.0,228589568,193335808.0,193335808,228589568.0,228589568,0.0,0,0.0,0
I04,8,128,128,6.133587500244175,6.740824000189605,907.8039140003966,914.0915540001515,914.4562160001897,920.1739489999454,1119.1844811979595,1125.4175222857527,7.148062314963752,7.197571291339775,6.107648134231567,6.717984199523926,907.79541015625,914.082275390625,150390272.0,150390272,278921216.0,278921216,212310528.0,212310528,278921216.0,278921216,25067520.0,25067520,255.0,255
I01,8,128,128,6.57260000025417,7.115702000191959,1181.4705024999057,1184.6339979997538,1188.0465169999752,1191.6811270002654,859.9453728286221,862.5342807183737,9.302917342518942,9.327826755903573,6.549247980117798,7.091328144073486,1181.46044921875,1184.623291015625,159565312.0,159565312,232783872.0,232783872,201974272.0,201974272,232783872.0,232783872,0.0,0,0.0,0
I03,1,512,512,6.202926000014486,6.3678260003143805,3006.7347615001836,3025.7770959997288,3013.4057309999207,3031.965363999916,169.95181281859152,170.37419809585006,5.884021059687248,5.921285902152111,6.179152011871338,6.34332799911499,3006.7099609375,3025.753173828125,150382080.0,150382080,211812352.0,211812352,172304384.0,172304384,211812352.0,211812352,0.0,0,0.0,0
I04,1,512,512,6.223329000022204,6.341055000120832,3482.1833260000403,3506.6497389998403,3488.3936730000187,3512.8882159997374,146.7470298176341,147.1483584440534,6.814448778865049,6.862328256359766,6.1950719356536865,6.313632011413574,3482.156005859375,3506.623046875,150382080.0,150382080,216006656.0,216006656,179295232.0,179295232,216006656.0,216006656,12570624.0,12570624,1023.0,1023
I01,1,512,512,5.761631000041234,5.8196899999529705,2888.112183000203,2896.444888000133,2893.877617500266,2902.248234000126,176.93219127097132,178.2360899746947,5.651882941291982,5.668189604696933,5.737936019897461,5.7942399978637695,2888.08984375,2896.421875,159557120.0,159557120,222298112.0,222298112,181745664.0,181745664,222298112.0,222298112,0.0,0,0.0,0
I02,1,512,512,5.792539000140096,5.860729000232823,3303.241266999976,3337.4371079999037,3309.040253500143,3343.234010999822,154.6965445771662,154.9630541528909,6.464268624266097,6.531188078277698,5.7698400020599365,5.837920188903809,3303.2158203125,3337.412109375,159557120.0,159557120,270532608.0,270532608,212715008.0,212715008,270532608.0,270532608,25141248.0,25141248,1023.0,1023
I04,4,512,128,10.308756500080563,10.349966000376298,905.8235239999703,909.792677999576,916.1264074998599,920.1426439999523,560.8156427584127,563.822197111756,7.132468692913152,7.163721874012409,10.283456325531006,10.316608428955078,905.8163452148438,909.7861328125,150394368.0,150394368,264241152.0,264241152,225124864.0,225124864,264241152.0,264241152,31408128.0,31408128,639.0,639
I01,4,512,128,12.774367500014705,12.905156000670104,1746.0427129999516,1753.0000809992998,1758.8729210001475,1766.3791599998149,290.94365121418775,292.06182586195314,13.748367818897258,13.803150244088975,12.74945592880249,12.880319595336914,1746.0288696289062,1752.9859619140625,159569408.0,159569408,257949696.0,257949696,214169088.0,214169088,257949696.0,257949696,0.0,0,0.0,0
I02,4,512,128,11.370309000085399,11.439340000833909,862.219751500561,890.0497209997411,873.8478734999262,901.4240389997212,589.1770754881815,591.8266325805138,6.7891319015792195,7.008265519683001,11.344272136688232,11.408191680908203,862.2125854492188,890.0425415039062,159569408.0,159569408,337641472.0,337641472,289948160.0,289948160,337641472.0,337641472,62816256.0,62816256,639.0,639
I03,4,512,128,11.711273999935656,12.02220000050147,1605.1458239999192,1609.9315819992626,1616.9217280003068,1621.7329499995685,316.4821491722314,317.467404431046,12.638943496062357,12.676626629915454,11.688096046447754,11.99897575378418,1605.133056640625,1609.9185791015625,150394368.0,150394368,247463936.0,247463936,205097472.0,205097472,247463936.0,247463936,0.0,0,0.0,0
I01,1,128,128,5.789051000192558,5.858081999576825,695.5732960000205,701.6708779992769,701.3314239998181,707.5223499996355,182.58330397494836,183.424936203936,5.476955086614335,5.5249675433013925,5.7674400806427,5.836063861846924,695.5665893554688,701.6646118164062,159550976.0,159550976,174063616.0,174063616,164862976.0,164862976,174063616.0,174063616,0.0,0,0.0,0
I02,1,128,128,5.809662499814294,6.3044560001799255,822.990574499272,828.9225369999258,828.8130969995109,834.7635609998179,154.3152556608885,155.13832775837753,6.480240744088756,6.526949110235636,5.782272100448608,5.909696102142334,822.9840087890625,828.9150390625,159550976.0,159550976,184549376.0,184549376,172102656.0,172102656,184549376.0,184549376,6266880.0,6266880,255.0,255
